Rk,Player,Tm,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed,-9999
337,Chris Cenac Jr.,BOS,$2988120,$3137640,$3287400,$5930470,,,$6125760,cenacch01
338,Pacôme Dadiet,NYK,$2983680,$5373608,,,,,$2983680,dadiepa01
339,Joshua Jefferson,BRK,$2969520,$3118560,$3266880,$5896718,,,$6088080,jeffejo01
340,Alex Karaban,SAC,$2948280,$3095640,$3243120,$5853832,,,$6043920,karabal01
341,Danny Wolf,BRK,$2941440,$3081840,$5559640,,,,$2941440,wolfda01
342,Koa Peat,PHO,$2926800,$3073080,$3219840,$5811811,,,$5999880,peatko01
343,Hugo González,BOS,$2923560,$3062640,$5528065,,,,$2923560,gonzahu01
344,Liam McNeeley,CHO,$2902080,$3040320,$5487778,,,,$2902080,mcneeli01
345,Yanic Konan Niederhäuser,LAC,$2880960,$3018480,$5448356,,,,$2880960,konanya01
346,Ajay Mitchell,OKC,$2850000,$2850000,,,,,,mitchaj01
347,Bones Hyland,MIN,$2845883,,,,,,$2845883,hylanbo01
348,Terrence Shannon Jr.,MIN,$2801640,$5054159,,,,,$2801640,shannte01
349,Micah Potter,POR,$2801346,,,,,,$2801346,pottemi01
350,Jericho Sims,MIL,$2801346,,,,,,$2801346,simsje01
351,Luka Garza,BOS,$2801346,,,,,,$2801346,garzalu01
352,Ryan Dunn,PHO,$2784240,$5025553,,,,,$2784240,dunnry01
353,Isaiah Collier,UTA,$2763960,$4988948,,,,,$2763960,colliis01
354,Baylor Scheierman,BOS,$2744040,$4952993,,,,,$2744040,scheiba01
355,Neemias Queta,BOS,$2667944,$12500000,$13500000,$14500000,$15500000,,$58667944,quetane01
356,Justin Champagnie,WAS,$2667944,$3005085,,,,,$2667944,champju01
357,Vít Krejčí,POR,$2667944,$3005085,,,,,,krejcvi01
358,Jay Huff,IND,$2667944,$3005085,,,,,,huffja01
359,Christian Koloko,NOP,$2625627,,,,,,$2625627,kolokch01
360,Caleb Houstan,NOP,$2625627,,,,,,,houstca01
361,Kobe Sanders,LAC,$2622139,$2753246,$2884353,$3019474,,,$5375385,sandeko01
362,Jamaree Bouyea,PHO,$2584539,,,,,,$2584539,bouyeja01
363,Jamal Cain,ORL,$2584539,,,,,,$2584539,cainja01
364,Bryce McGowens,NOP,$2584539,$2934742,,,,,$2584539,mcgowbr01
365,Jabari Walker,PHI,$2584539,,,,,,,walkeja01
366,Dru Smith,MIA,$2584539,$2934742,,,,,,smithdr01
367,Pete Nance,MIL,$2537526,$2756912,,,,,$2537526,nancepe01
368,Oscar Tshiebwe,HOU,$2537526,,,,,,$2537526,tshieos01
369,Julian Phillips,HOU,$2537526,,,,,,$2537526,phillju01
370,Andre Jackson Jr.,TOR,$2537526,,,,,,,jacksan01
371,Olivier-Maxence Prosper,MEM,$3500172,$1002360,,,,,$2497812,prospol01
372,Sidy Cissoko,POR,$2497812,,,,,,,cissosi01
373,Scotty Pippen Jr.,MEM,$2461462,$2789215,,,,,,pippesc02
374,Moussa Diabaté,CHO,$2461462,,,,,,,diabamo01
375,Jonathan Isaac,ORL,$10449421,,,,,,$10449421,isaacjo01
376,Daeqwon Plowden,SAC,$2449421,$2664401,,,,,$5113822,plowdda01
377,Isaiah Crawford,HOU,$2449421,$2664401,,,,,$5113822,crawfis01
378,Harrison Ingram,UTA,$2449421,,,,,,$2449421,ingraha01
379,Kyle Anderson,TOR,$2449421,,,,,,$2449421,anderky01
380,Jordan McLaughlin,SAS,$2449421,,,,,,$2449421,mclaujo01
381,Jeremy Sochan,POR,$2449421,,,,,,$2449421,sochaje01
382,Branden Carlson,POR,$2449421,,,,,,$2449421,carlsbr01
383,Kentavious Caldwell-Pope,PHI,$20194392,,,,,,$2449421,caldwke01
384,Jevon Carter,ORL,$2449421,,,,,,$2449421,carteje01
385,Nikola Vučević,ORL,$2449421,,,,,,$2449421,vucevni01
386,Jordan Clarkson,NYK,$2449421,,,,,,$2449421,clarkjo01
387,Andre Drummond,NYK,$2449421,,,,,,$2449421,drumman01
388,Kobe Bufkin,NOP,$2449421,,,,,,$2449421,bufkiko01
389,Trey Lyles,MIN,$2449421,,,,,,$2449421,lylestr01
390,Simone Fontecchio,MIA,$2449421,,,,,,$2449421,fontesi01
391,Matisse Thybulle,LAL,$2449421,,,,,,$2449421,thybuma01
392,Ziaire Williams,LAL,$2449421,,,,,,$2449421,willizi02
393,Kevon Looney,LAL,$2449421,,,,,,$2449421,looneke01
394,Larry Nance Jr.,IND,$2449421,,,,,,$2449421,nancela02
395,Jae'Sean Tate,HOU,$2449421,,,,,,$2449421,tateja01
396,Bogdan Bogdanović,HOU,$2449421,,,,,,$2449421,bogdabo01
397,Gary Payton II,GSW,$2449421,,,,,,$2449421,paytoga02
398,Charles Bassey,GSW,$2449421,,,,,,$2449421,bassech01
399,Marvin Bagley III,DEN,$2449421,,,,,,$2449421,baglema01
400,Tyus Jones,DEN,$2449421,,,,,,$2449421,jonesty01
401,Mario Hezonja,CLE,$2449421,,,,,,$2449421,hezonma01
402,Thomas Bryant,CLE,$2449421,,,,,,$2449421,bryanth01
403,Mike Conley,BOS,$2449421,,,,,,$2449421,conlemi01
404,Haywood Highsmith,PHO,$3449421,,,,,,$1000000,highsha01
405,Trendon Watford,NOP,$2449421,,,,,,,watfotr01
406,Yuki Kawamura,LAC,$2449421,,,,,,,kawamyu01
407,Georges Niang,GSW,$2449421,,,,,,,niangge01
408,Brandon Williams,GSW,$2449421,,,,,,,willibr03
409,Cam Spencer,MEM,$2411090,$2616754,$2830685,,,,$5027844,spencca01
410,Justin Edwards,PHI,$2411090,$2616754,,,,,$2411090,edwarju01
411,Tolu Smith,DET,$2411090,,,,,,$2411090,smithto05
412,Nae'Qwan Tomlin,CLE,$2411090,,,,,,$2411090,tomlina01
413,Ryan Kalkbrenner,CHO,$2411090,$2525901,$2735698,,,,$2411090,kalkbry01
414,Sion James,CHO,$2411090,$2525901,$2735698,,,,$2411090,jamessi01
415,Jordan Walsh,BOS,$2406205,$4629630,$5000000,$5370370,,,$17406205,walshjo01
416,Trayce Jackson-Davis,TOR,$2406205,,,,,,$2406205,jackstr02
417,GG Jackson II,MEM,$2406205,,,,,,$2406205,jacksgg01
418,Craig Porter Jr.,CLE,$2406205,,,,,,$2406205,portecr01
419,Leonard Miller,CHI,$2406205,,,,,,$2406205,millele01
420,Mouhamed Gueye,ATL,$2406205,,,,,,$2406205,gueyemo02
421,Jamal Shead,TOR,$2296271,,,,,,$2296271,sheadja01
422,Tyler Kolek,NYK,$2296271,$2486995,,,,,$2296271,kolekty01
423,Karlo Matković,NOP,$2296271,,,,,,$2296271,matkoka01
424,Pelle Larsson,MIA,$2296271,,,,,,$2296271,larsspe01
425,Johnny Furphy,IND,$2296271,$2486995,,,,,$2296271,furphjo01
426,Jamison Battle,TOR,$2296271,,,,,,,battlja01
427,Oso Ighodaro,PHO,$2296271,$2486995,,,,,,ighodos01
428,Adem Bona,PHI,$2296271,$2486995,,,,,,bonaad01
429,Jaylen Wells,MEM,$2296271,$2486995,,,,,,wellsja01
430,Bronny James,LAL,$2296271,$2486995,,,,,,jamesbr02
431,Cam Christie,LAC,$2296271,$2486995,,,,,,chrisca02
432,Mohamed Diawara,NYK,$2232143,$2410714,$2589286,$2767857,,,$10000000,diawamo01
433,JaVale McGee,DAL,$2208856,$2208856,,,,,$4417712,mcgeeja01
434,Alijah Martin,TOR,$2185116,$2571895,,,,,$2185116,martial01
435,Moussa Cisse,DAL,$2185116,$2571895,,,,,$2185116,cissemo01
436,Malachi Smith,TOR,$2185116,,,,,,,smithma02
437,Taelon Peter,SAS,$2185116,,,,,,,peterta01
438,Rasheer Fleming,PHO,$2150917,$2525901,$2735698,,,,$4676818,flemira01
439,Maxime Raynaud,SAC,$2150917,$2525901,,,,,$2150917,raynama01
440,Noah Penda,ORL,$2150917,$2525901,$2735698,,,,$2150917,pendano01
441,Micah Peavy,NOP,$2150917,$2525901,$2735698,,,,$2150917,peavymi01
442,Adou Thiero,LAL,$2150917,$2525901,,,,,$2150917,thierad01
443,Johni Broome,LAC,$2150917,$2525901,$2735698,,,,$2150917,broomjo01
444,Will Richard,GSW,$2150917,$2525901,$2735698,,,,$2150917,richawi02
445,Chaz Lanier,DET,$2150917,$2525901,$2735698,,,,$2150917,laniech01
446,Tyrese Proctor,CLE,$2150917,$2525901,$2735698,,,,$2150917,proctty01
447,Ryan Nembhard,ATL,$2150917,,,,,,$2150917,nembhry01
448,Myron Gardner,MIA,$2150917,$2525901,,,,,,gardnmy01
449,Baba Miller,LAC,$1705630,$2294370,$2694363,$2918152,,,$4000000,milleba01
450,Isaiah Evans,MIN,$1357763,$2294370,$2694363,$2918152,,,$6346496,evansis01
451,Bogoljub Markovic,MIL,$1357763,$2294370,$2694363,$2918152,,,$6346496,markobo01
452,Meleek Thomas,CLE,$1357763,$2294370,$2694363,$2918152,,,$6346496,thomame01
453,Emanuel Sharp,SAC,$1357763,$2294370,$2694363,,,,$3652133,sharpem01
454,Ryan Conwell,MIA,$1357763,$2294370,$2694363,,,,$3652133,conwery01
455,Henri Veesaar,ATL,$1357763,$2294370,$2694363,$2918152,,,$3652133,veesahe01
456,Bruce Thornton,HOU,$1357763,$2294370,$2694363,$2918152,,,$1357763,thornbr01
457,Trevon Brazile,DEN,$1357763,,,,,,$1357763,brazitr01
458,Nate Bittle,TOR,$1357763,,,,,,,bittlna01
459,Tucker DeVries,BOS,$1357763,,,,,,,devritu01
460,Milos Uzan,BOS,$1357763,,,,,,,uzanmi01
461,Olivier-Maxence Prosper,DAL,$3500172,$1002360,,,,,$2004720,prospol01
462,Haywood Highsmith,PHO,$3449421,,,,,,$1000000,highsha01
463,E.J. Liddell,PHO,$706898,,,,,,$706898,liddeej01
464,Vasilije Micić,MIL,$666667,$666667,,,,,$1333334,micicva01
465,Mamadi Diakite,MEM,$464050,,,,,,$464050,diakima01
466,Ricky Rubio,CLE,$424672,,,,,,$424672,rubiori01
467,Didi Louzada,POR,$268032,$268032,$268032,,,,$804096,louzama01
